Date,Open,High,Low,Close,Adj Close
2024-08-31,24870.0,24890.0,24570.0,24730.0,24730.0
2024-09-07,24730.0,24730.0,24515.0,24575.0,24575.0
2024-09-14,24575.0,24680.0,24515.0,24565.0,24565.0
2024-09-21,24565.0,24640.0,24520.0,24615.0,24615.0
2024-09-28,24615.0,24760.0,24540.0,24745.0,24745.0
2024-10-05,24745.0,24855.0,24715.0,24830.0,24830.0
2024-10-12,24830.0,25260.0,24800.0,25180.0,25180.0
2024-10-19,25180.0,25440.0,25150.0,25385.0,25385.0
2024-10-26,25385.0,25430.0,25250.0,25270.0,25270.0
2024-11-02,25270.0,25410.0,25250.0,25350.0,25350.0
2024-11-09,25350.0,25395.0,25250.0,25390.0,25390.0
2024-11-16,25390.0,25430.0,25339.0,25415.0,25415.0
2024-11-23,25415.0,25425.0,25320.0,25358.0,25358.0
2024-11-30,25358.0,25405.0,25335.0,25393.0,25393.0
2024-12-07,25393.0,24405.0,25344.0,25394.0,25394.0
2024-12-14,25394.0,25463.0,25380.0,25450.0,25450.0
2024-12-21,25450.0,25460.0,25410.0,25425.0,25425.0
2024-12-28,25425.0,25500.0,25400.0,25450.0,25450.0
2025-01-04,25450.0,25455.0,25350.0,25375.0,25375.0
2025-01-11,25375.0,25410.0,25310.0,25370.0,25370.0
2025-01-18,25370.0,25370.0,24990.0,25080.0,25080.0
2025-01-25,25080.0,25115.0,25020.0,25060.0,25060.0
2025-02-01,25060.0,25330.0,25020.0,25260.0,25260.0
2025-02-08,25260.0,25604.0,25260.0,25440.0,25440.0
2025-02-15,25440.0,25570.0,25350.0,25500.0,25500.0
2025-02-22,25500.0,25566.0,25460.0,25520.0,25520.0
2025-03-01,25520.0,25605.0,25420.0,25485.0,25485.0
2025-03-08,25485.0,25545.0,25430.0,25490.0,25490.0
2025-03-15,25490.0,25585.0,25460.0,25545.0,25545.0
2025-03-22,25545.0,25658.0,25540.0,25560.0,25560.0
2025-03-29,25560.0,25813.0,25530.0,25600.0,25600.0
2025-04-05,25600.0,26110.0,25580.0,25720.0,25720.0
2025-04-12,25720.0,25914.0,25640.0,25830.0,25830.0
2025-04-19,25871.0,26051.0,25871.0,26026.0,26026.0
2025-04-26,26026.0,26051.0,25950.0,25980.0,25980.0
2025-05-03,25980.0,25989.0,25895.0,25959.0,25959.0
2025-05-10,25959.0,25989.0,25890.0,25920.0,25920.0
2025-05-17,25920.0,25979.0,25890.0,25973.0,25973.0
2025-05-24,25973.0,26044.0,25871.0,25996.0,25996.0
2025-05-31,25996.0,26104.0,25930.0,26056.0,26056.0
2025-06-07,26056.0,26091.0,25990.0,26020.0,26020.0
2025-06-14,26020.0,26140.0,26020.0,26123.0,26123.0
2025-06-21,26123.0,26205.0,26065.0,26100.0,26100.0
2025-06-28,26100.0,26230.0,26048.0,26175.0,26175.0
2025-07-05,26175.0,26230.0,26047.0,26100.0,26100.0
2025-07-12,26100.0,26166.0,26047.0,26135.0,26135.0
2025-07-19,26135.0,26166.0,26100.0,26110.0,26110.0
2025-07-26,26110.0,26250.0,26100.0,26197.0,26197.0
2025-08-02,26197.0,26260.0,26140.0,26190.0,26190.0
2025-08-09,26190.0,26287.0,26160.0,26230.0,26230.0
2025-08-16,26230.0,26449.0,26230.0,26405.0,26405.0
2025-08-23,26405.0,26435.0,26278.0,26360.0,26360.0
2025-08-30,26360.0,26400.0,26293.0,26360.0,26360.0
2025-09-06,26360.0,26418.0,26345.0,26375.0,26375.0
2025-09-13,26375.0,24405.0,26340.0,26355.0,26355.0
2025-09-20,26355.0,26425.0,26355.0,26380.0,26380.0
2025-09-27,26380.0,26428.0,26348.0,26393.0,26393.0
2025-10-04,26393.0,26402.0,26310.0,26346.0,26346.0
2025-10-11,26346.0,26360.0,26300.0,26310.0,26310.0
2025-10-18,26310.0,26355.0,26280.0,26312.0,26312.0
2025-10-25,26312.0,26340.0,26265.0,26315.0,26315.0
2025-11-01,26315.0,26340.0,26260.0,26285.0,26285.0
2025-11-08,26285.0,26356.0,26270.0,26320.0,26320.0
2025-11-15,26356.0,26387.0,26275.0,26366.0,26366.0
2025-11-22,26380.0,26383.0,26265.0,26372.0,26372.0
2025-11-29,26369.0,26382.0,26310.0,26340.0,26340.0
2025-12-06,26372.0,26376.0,26260.0,26300.0,26300.0
2025-12-13,26314.0,26357.0,26260.0,26285.0,26285.0
2025-12-20,26290.0,26340.0,26250.0,26277.0,26277.0
2025-12-27,26289.0,26302.0,26220.0,26295.0,26295.0
2026-01-03,26295.0,26295.0,26225.0,26230.0,26230.0
2026-01-10,26265.0,26295.0,26225.0,26230.0,26230.0
2026-01-17,26274.0,26276.0,26200.0,26267.0,26267.0
2026-01-24,26254.0,26257.0,25865.0,25950.0,25950.0
2026-01-31,25939.0,26040.0,25865.0,25940.0,25940.0
2026-02-07,25955.0,25998.0,25820.0,25910.0,25910.0
2026-02-14,25964.0,25979.0,25900.0,25920.0,25920.0
2026-02-21,25920.0,26199.0,25920.0,26030.0,26030.0
2026-02-28,26030.0,26061.0,25970.0,26030.0,26030.0
