date,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,z_SHOCK_Index,z_VOL_Base_Index,z_MDI_Index,z_LEARN_Index,z_ESCAPE_Index
2022-05-29,0.0,3.0,16.0,12.0,21.0,-0.7467810444663804,-0.7466337889166207,-0.9489036401179586,-0.663538929101922,0.06063527232880112
2022-06-05,0.0,4.8,17.2,12.0,19.2,-0.7467810444663804,-0.42113208473695496,-0.6996058790455484,-0.663538929101922,-0.4462654561772346
2022-06-12,0.0,3.6,19.8,11.0,17.4,-0.7467810444663804,-0.6381332208567321,-0.1594607300553256,-0.8374945765518826,-0.9531661846832704
2022-06-19,0.0,0.0,19.0,10.2,19.2,-0.7467810444663804,-1.2891366292160638,-0.32565923743693265,-0.9766590945118513,-0.4462654561772346
2022-06-26,0.0,0.0,14.8,10.2,19.0,-0.7467810444663804,-1.2891366292160638,-1.1982014011903688,-0.9766590945118513,-0.5025877593445718
2022-07-03,0.0,0.0,13.4,9.4,18.0,-0.7467810444663804,-1.2891366292160638,-1.489048789108181,-1.1158236124718197,-0.7841992751812582
2022-07-10,0.0,0.0,16.0,8.0,17.2,-0.7467810444663804,-1.2891366292160638,-0.9489036401179586,-1.3593615189017647,-1.0094884878506074
2022-07-17,0.0,0.0,18.0,7.6,17.8,-0.7467810444663804,-1.2891366292160638,-0.5334073716639413,-1.4289437778817489,-0.8405215783485952
2022-07-24,0.0,0.0,17.8,8.2,17.6,-0.7467810444663804,-1.2891366292160638,-0.5749569985093429,-1.3245703894117726,-0.8968438815159323
2022-07-31,0.0,0.0,16.6,8.0,17.6,-0.7467810444663804,-1.2891366292160638,-0.8242547595817531,-1.3593615189017647,-0.8968438815159323
2022-08-07,0.0,0.0,13.4,8.0,16.0,-0.7467810444663804,-1.2891366292160638,-1.489048789108181,-1.3593615189017647,-1.347422306854631
2022-08-14,0.0,0.0,17.4,8.0,17.6,-0.7467810444663804,-1.2891366292160638,-0.6580562522001467,-1.3593615189017647,-0.8968438815159323
2022-08-21,0.0,0.0,16.8,7.4,17.2,-0.7467810444663804,-1.2891366292160638,-0.7827051327363516,-1.463734907371741,-1.0094884878506074
2022-08-28,0.0,0.0,15.8,6.4,16.2,-0.7467810444663804,-1.2891366292160638,-0.9904532669633602,-1.6376905548217016,-1.291100003687294
2022-09-04,0.0,0.0,17.6,9.4,17.8,-0.7467810444663804,-1.2891366292160638,-0.6165066253547444,-1.1158236124718197,-0.8405215783485952
2022-09-11,0.0,0.0,16.0,12.4,17.4,-0.7467810444663804,-1.2891366292160638,-0.9489036401179586,-0.5939566701219378,-0.9531661846832704
2022-09-18,0.0,5.0,20.6,12.6,18.0,-0.7467810444663804,-0.38496522871699207,0.006737777326281477,-0.5591655406319457,-0.7841992751812582
2022-09-25,0.0,4.8,17.4,13.0,19.0,-0.7467810444663804,-0.42113208473695496,-0.6580562522001467,-0.4895832816519614,-0.5025877593445718
2022-10-02,0.0,2.8,17.2,12.8,19.8,-0.7467810444663804,-0.7828006449365836,-0.6996058790455484,-0.5243744111419534,-0.2772985466752224
2022-10-09,0.0,4.4,21.4,15.4,18.8,-0.7467810444663804,-0.49346579677688057,0.1729362847078878,-0.0720897277720558,-0.5589100625119088
2022-10-16,0.0,19.8,18.8,16.2,16.6,-0.7467810444663804,2.2913821167602606,-0.36720886428233424,0.06707479018791253,-1.1784553973526188
2022-10-23,0.0,26.4,22.8,22.0,20.8,-0.7467810444663804,3.4848883654190344,0.46378367262570036,1.0760175453976843,0.004312969161464034
2022-10-30,0.0,21.4,23.6,25.0,22.2,-0.7467810444663804,2.580716964919963,0.6299821800073074,1.5978844877475662,0.39856909133282464
2022-11-06,0.0,20.6,22.8,20.2,20.6,-0.7467810444663804,2.436049540840112,0.46378367262570036,0.7628973799877551,-0.05200933400587305
2022-11-13,0.0,12.2,17.6,14.0,18.6,-0.7467810444663804,0.9170415880016711,-0.6165066253547444,-0.31562763420200074,-0.6152323656792459
2022-11-20,0.0,9.2,16.6,12.2,14.4,-0.7467810444663804,0.37453874770222806,-0.8242547595817531,-0.6287477996119301,-1.7980007321933291
2022-11-27,0.0,10.6,14.6,12.6,16.6,-0.7467810444663804,0.6277067398419682,-1.2397510280357709,-0.5591655406319457,-1.1784553973526188
2022-12-04,0.2,9.2,15.4,14.0,16.4,-0.7222638318264015,0.37453874770222806,-1.0735525206541636,-0.31562763420200074,-1.2347777005199567
2022-12-11,0.2,12.4,17.8,17.6,17.6,-0.7222638318264015,0.9532084440216342,-0.5749569985093429,0.3106126966178578,-0.8968438815159323
2022-12-18,0.2,13.2,23.2,23.4,18.8,-0.7222638318264015,1.0978758681014855,0.5468829263165035,1.3195554518276291,-0.5589100625119088
2022-12-25,0.2,12.0,19.2,24.0,20.6,-0.7222638318264015,0.8808747319817084,-0.28410961059153106,1.4239288402976056,-0.05200933400587305
2023-01-01,0.2,9.2,17.8,14.8,16.4,-0.7222638318264015,0.37453874770222806,-0.5749569985093429,-0.17646311624203212,-1.2347777005199567
2023-01-08,0.4,2.4,13.8,8.8,16.4,-0.6977466191864228,-0.8551343569765093,-1.4059495354173774,-1.220197000941796,-1.2347777005199567
2023-01-15,0.2,0.0,10.4,4.8,20.8,-0.7222638318264015,-1.2891366292160638,-2.112293191789207,-1.9160195907416386,0.004312969161464034
2023-01-22,0.6,0.0,14.4,5.8,15.2,-0.673229406546444,-1.2891366292160638,-1.2813006548811723,-1.7420639432916778,-1.5727115195239803
2023-01-29,5.4,5.4,14.0,10.8,25.6,-0.08481630318695338,-0.31263151667706623,-1.3643999085719758,-0.8722857060418747,1.356048245177559
2023-02-05,4.2,13.2,16.2,12.4,22.6,-0.23191957902682606,1.0978758681014855,-0.907354013272557,-0.5939566701219378,0.5112136976674998
2023-02-12,2.0,8.6,16.0,12.6,21.2,-0.5016089180665926,0.26603817964233956,-0.9489036401179586,-0.5591655406319457,0.11695757549613821
2023-02-19,1.6,15.2,22.6,14.6,24.0,-0.5506433433465502,1.459544428301114,0.4222340457802988,-0.21125424573202442,0.9054698198388604
2023-02-26,1.2,7.2,20.8,15.2,27.2,-0.5996777686265077,0.012870187502599549,0.04828740417168306,-0.10688085726204812,1.8066266705162568
2023-03-05,1.0,9.4,21.8,17.8,24.2,-0.6241949812664864,0.41070560372219117,0.2560355383986917,0.3454038261078498,0.9617921230061974
2023-03-12,1.0,11.8,28.6,20.2,26.2,-0.6241949812664864,0.8447078759617457,1.6687228511423506,0.7628973799877551,1.5250151546795703
2023-03-19,1.0,9.6,24.0,18.6,28.6,-0.6241949812664864,0.4468724597421539,0.7130814336981106,0.48456834406781846,2.200882792687618
