,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR
2022-07-10,0.2,1.6,13.4,0.8,19.0,100.9617839250073,0.021093554231033096,117.5703
2022-07-17,0.0,1.4,14.0,0.8,19.2,100.94299434167395,0.021089105789062756,118.48546000000002
2022-07-24,0.0,1.8,14.2,1.0,19.2,100.92420475834062,0.02108465922296965,117.20286000000002
2022-07-31,0.2,2.4,13.8,1.0,18.8,100.90541517500728,0.021080214531576935,116.97413999999999
2022-08-07,0.2,1.4,13.2,0.8,18.6,100.88662559167395,0.021075771713685576,116.49877999999998
2022-08-14,0.2,1.2,13.4,1.0,19.4,100.95316283125727,0.09046136458896736,115.89782
2022-08-21,0.2,1.2,13.6,1.2,18.6,101.0197000708406,0.09037960596409711,117.26962
2022-08-28,0.2,1.0,14.2,1.0,17.8,101.08623731042394,0.09029799499202795,118.73206
2022-09-04,0.2,1.0,13.0,1.0,17.6,101.15277455000727,0.09021653127314622,119.29374
2022-09-11,0.2,0.8,15.0,1.0,18.8,101.23329402632089,0.13123160418504476,120.1175
2022-09-18,0.2,1.0,14.6,1.0,18.4,101.3138135026345,0.13105961255304166,119.76516
2022-09-25,0.0,0.8,14.8,1.0,16.2,101.39433297894813,0.1308880711540894,121.62458
2022-10-02,0.0,0.8,15.4,1.4,18.4,101.47485245526175,0.13071697822264472,124.10498
2022-10-09,0.0,1.4,15.4,1.2,20.2,101.43036148643891,0.05517443726010818,122.79592
2022-10-16,0.0,1.4,15.2,1.0,18.6,101.38587051761607,0.05514401186188511,124.1455
2022-10-23,0.0,1.4,15.8,1.0,18.2,101.34137954879323,0.05511362000072406,123.57622
2022-10-30,0.0,4.6,14.8,1.0,18.2,101.29688857997039,0.055083261621247104,122.10517999999999
2022-11-06,0.0,13.2,15.4,1.2,17.4,101.25239761114754,0.05505293666809852,122.9872
2022-11-13,0.0,13.2,15.8,1.0,16.8,100.95516462928566,0.020054742333930342,120.68345
2022-11-20,0.0,5.2,11.8,1.0,13.0,100.65793164742377,0.020050721213471512,117.90347999999999
2022-11-27,0.6,4.6,16.2,1.4,17.2,100.36069866556187,0.02004670170518974,118.30007499999999
2022-12-04,3.2,5.4,18.6,1.4,16.8,100.06346568369999,0.02004268380815244,117.49056
2022-12-11,3.8,5.0,17.0,1.4,17.2,100.33669434877623,0.19797838030810588,117.03362
2022-12-18,2.0,2.6,10.0,1.4,12.8,100.60992301385247,0.19758720036910926,116.45219999999999
2022-12-25,1.6,2.2,8.8,1.2,12.6,100.88315167892871,0.19719756322473803,116.40632000000001
2023-01-01,2.2,6.2,11.8,1.4,16.4,101.15638034400496,0.19680945976590092,115.98805
2023-01-08,3.0,6.6,13.8,2.0,17.8,101.04480539820077,0.017750008330463807,116.37465
2023-01-15,3.4,18.2,15.2,2.4,18.4,100.93323045239657,0.017746858261658005,114.73182
2023-01-22,4.4,23.0,16.2,2.8,19.6,100.82165550659236,0.017743709310691358,114.182575
2023-01-29,5.0,15.4,17.0,2.6,20.2,100.71008056078817,0.017740561477053163,113.84372
2023-02-05,5.8,11.0,17.8,2.8,18.4,100.59850561498398,0.01773741476005508,113.85763999999999
2023-02-12,5.4,8.6,16.4,2.8,18.6,100.67303276606206,0.05188576415553481,115.19318000000001
2023-02-19,4.8,7.0,16.0,3.4,18.4,100.74755991714015,0.051858856791420216,115.44390000000001
2023-02-26,5.0,6.6,16.4,3.6,18.4,100.82208706821824,0.05183197732052669,116.527975
