country,shock,response,horizon_week,irf_value
US,GenAI shock,Job Insecurity,0,0.0
US,GenAI shock,Job Insecurity,1,-0.320829
US,GenAI shock,Job Insecurity,2,-0.042012
US,GenAI shock,Job Insecurity,3,0.006716
US,GenAI shock,Job Insecurity,4,0.010738
US,GenAI shock,Job Insecurity,5,0.008616
US,GenAI shock,Job Insecurity,6,0.006276
US,GenAI shock,Job Insecurity,7,0.004461
US,GenAI shock,Job Insecurity,8,0.003156
US,GenAI shock,Job Insecurity,9,0.002229
US,GenAI shock,Job Insecurity,10,0.001574
US,GenAI shock,Job Insecurity,11,0.001111
US,GenAI shock,Job Insecurity,12,0.000784
US,GenAI shock,Job Insecurity,13,0.000554
US,GenAI shock,Job Insecurity,14,0.000391
US,GenAI shock,Job Insecurity,15,0.000276
US,GenAI shock,Job Insecurity,16,0.000195
US,GenAI shock,Job Insecurity,17,0.000138
US,GenAI shock,Job Insecurity,18,9.7e-05
US,GenAI shock,Job Insecurity,19,6.9e-05
US,GenAI shock,Job Insecurity,20,4.8e-05
US,GenAI shock,Job Insecurity,21,3.4e-05
US,GenAI shock,Job Insecurity,22,2.4e-05
US,GenAI shock,Job Insecurity,23,1.7e-05
US,GenAI shock,Job Insecurity,24,1.2e-05
US,GenAI shock,Job Insecurity,25,8e-06
US,GenAI shock,Job Insecurity,26,6e-06
US,GenAI shock,Burnout (MDI),0,0.0
US,GenAI shock,Burnout (MDI),1,-0.035854
US,GenAI shock,Burnout (MDI),2,-0.038937
US,GenAI shock,Burnout (MDI),3,-0.029538
US,GenAI shock,Burnout (MDI),4,-0.021856
US,GenAI shock,Burnout (MDI),5,-0.015389
US,GenAI shock,Burnout (MDI),6,-0.010919
US,GenAI shock,Burnout (MDI),7,-0.007702
US,GenAI shock,Burnout (MDI),8,-0.005441
US,GenAI shock,Burnout (MDI),9,-0.003841
US,GenAI shock,Burnout (MDI),10,-0.002712
US,GenAI shock,Burnout (MDI),11,-0.001914
US,GenAI shock,Burnout (MDI),12,-0.001352
US,GenAI shock,Burnout (MDI),13,-0.000954
US,GenAI shock,Burnout (MDI),14,-0.000674
US,GenAI shock,Burnout (MDI),15,-0.000476
US,GenAI shock,Burnout (MDI),16,-0.000336
US,GenAI shock,Burnout (MDI),17,-0.000237
US,GenAI shock,Burnout (MDI),18,-0.000167
US,GenAI shock,Burnout (MDI),19,-0.000118
US,GenAI shock,Burnout (MDI),20,-8.3e-05
US,GenAI shock,Burnout (MDI),21,-5.9e-05
US,GenAI shock,Burnout (MDI),22,-4.2e-05
US,GenAI shock,Burnout (MDI),23,-2.9e-05
US,GenAI shock,Burnout (MDI),24,-2.1e-05
US,GenAI shock,Burnout (MDI),25,-1.5e-05
US,GenAI shock,Burnout (MDI),26,-1e-05
US,Job Insecurity,AI Volatility,0,0.0
US,Job Insecurity,AI Volatility,1,-0.012443
US,Job Insecurity,AI Volatility,2,-0.011504
US,Job Insecurity,AI Volatility,3,-0.008849
US,Job Insecurity,AI Volatility,4,-0.006344
US,Job Insecurity,AI Volatility,5,-0.004501
US,Job Insecurity,AI Volatility,6,-0.00318
US,Job Insecurity,AI Volatility,7,-0.002246
US,Job Insecurity,AI Volatility,8,-0.001586
US,Job Insecurity,AI Volatility,9,-0.00112
US,Job Insecurity,AI Volatility,10,-0.00079
US,Job Insecurity,AI Volatility,11,-0.000558
US,Job Insecurity,AI Volatility,12,-0.000394
US,Job Insecurity,AI Volatility,13,-0.000278
US,Job Insecurity,AI Volatility,14,-0.000196
US,Job Insecurity,AI Volatility,15,-0.000139
US,Job Insecurity,AI Volatility,16,-9.8e-05
US,Job Insecurity,AI Volatility,17,-6.9e-05
US,Job Insecurity,AI Volatility,18,-4.9e-05
US,Job Insecurity,AI Volatility,19,-3.4e-05
US,Job Insecurity,AI Volatility,20,-2.4e-05
US,Job Insecurity,AI Volatility,21,-1.7e-05
US,Job Insecurity,AI Volatility,22,-1.2e-05
US,Job Insecurity,AI Volatility,23,-9e-06
US,Job Insecurity,AI Volatility,24,-6e-06
US,Job Insecurity,AI Volatility,25,-4e-06
US,Job Insecurity,AI Volatility,26,-3e-06
US,Job Insecurity,GenAI shock,0,0.0
US,Job Insecurity,GenAI shock,1,-0.011459
US,Job Insecurity,GenAI shock,2,-0.000646
US,Job Insecurity,GenAI shock,3,0.002282
US,Job Insecurity,GenAI shock,4,0.001854
US,Job Insecurity,GenAI shock,5,0.001401
US,Job Insecurity,GenAI shock,6,0.000993
US,Job Insecurity,GenAI shock,7,0.000705
US,Job Insecurity,GenAI shock,8,0.000497
US,Job Insecurity,GenAI shock,9,0.000351
US,Job Insecurity,GenAI shock,10,0.000248
US,Job Insecurity,GenAI shock,11,0.000175
US,Job Insecurity,GenAI shock,12,0.000124
US,Job Insecurity,GenAI shock,13,8.7e-05
US,Job Insecurity,GenAI shock,14,6.2e-05
US,Job Insecurity,GenAI shock,15,4.4e-05
US,Job Insecurity,GenAI shock,16,3.1e-05
US,Job Insecurity,GenAI shock,17,2.2e-05
US,Job Insecurity,GenAI shock,18,1.5e-05
US,Job Insecurity,GenAI shock,19,1.1e-05
US,Job Insecurity,GenAI shock,20,8e-06
US,Job Insecurity,GenAI shock,21,5e-06
US,Job Insecurity,GenAI shock,22,4e-06
US,Job Insecurity,GenAI shock,23,3e-06
US,Job Insecurity,GenAI shock,24,2e-06
US,Job Insecurity,GenAI shock,25,1e-06
US,Job Insecurity,GenAI shock,26,1e-06
US,Job Insecurity,Job Insecurity,0,1.0
US,Job Insecurity,Job Insecurity,1,0.096521
US,Job Insecurity,Job Insecurity,2,0.01116
US,Job Insecurity,Job Insecurity,3,0.000921
US,Job Insecurity,Job Insecurity,4,-0.00099
US,Job Insecurity,Job Insecurity,5,-0.000914
US,Job Insecurity,Job Insecurity,6,-0.0007
US,Job Insecurity,Job Insecurity,7,-0.000499
US,Job Insecurity,Job Insecurity,8,-0.000355
US,Job Insecurity,Job Insecurity,9,-0.00025
US,Job Insecurity,Job Insecurity,10,-0.000177
US,Job Insecurity,Job Insecurity,11,-0.000125
US,Job Insecurity,Job Insecurity,12,-8.8e-05
US,Job Insecurity,Job Insecurity,13,-6.2e-05
US,Job Insecurity,Job Insecurity,14,-4.4e-05
US,Job Insecurity,Job Insecurity,15,-3.1e-05
US,Job Insecurity,Job Insecurity,16,-2.2e-05
US,Job Insecurity,Job Insecurity,17,-1.5e-05
US,Job Insecurity,Job Insecurity,18,-1.1e-05
US,Job Insecurity,Job Insecurity,19,-8e-06
US,Job Insecurity,Job Insecurity,20,-5e-06
US,Job Insecurity,Job Insecurity,21,-4e-06
US,Job Insecurity,Job Insecurity,22,-3e-06
US,Job Insecurity,Job Insecurity,23,-2e-06
US,Job Insecurity,Job Insecurity,24,-1e-06
US,Job Insecurity,Job Insecurity,25,-1e-06
US,Job Insecurity,Job Insecurity,26,-1e-06
US,Job Insecurity,Burnout (MDI),0,0.0
US,Job Insecurity,Burnout (MDI),1,-0.014776
US,Job Insecurity,Burnout (MDI),2,0.006153
US,Job Insecurity,Burnout (MDI),3,0.002614
US,Job Insecurity,Burnout (MDI),4,0.002581
US,Job Insecurity,Burnout (MDI),5,0.001685
US,Job Insecurity,Burnout (MDI),6,0.001237
US,Job Insecurity,Burnout (MDI),7,0.000862
US,Job Insecurity,Burnout (MDI),8,0.000612
US,Job Insecurity,Burnout (MDI),9,0.000431
US,Job Insecurity,Burnout (MDI),10,0.000305
US,Job Insecurity,Burnout (MDI),11,0.000215
US,Job Insecurity,Burnout (MDI),12,0.000152
US,Job Insecurity,Burnout (MDI),13,0.000107
US,Job Insecurity,Burnout (MDI),14,7.6e-05
US,Job Insecurity,Burnout (MDI),15,5.3e-05
US,Job Insecurity,Burnout (MDI),16,3.8e-05
US,Job Insecurity,Burnout (MDI),17,2.7e-05
US,Job Insecurity,Burnout (MDI),18,1.9e-05
US,Job Insecurity,Burnout (MDI),19,1.3e-05
US,Job Insecurity,Burnout (MDI),20,9e-06
US,Job Insecurity,Burnout (MDI),21,7e-06
US,Job Insecurity,Burnout (MDI),22,5e-06
US,Job Insecurity,Burnout (MDI),23,3e-06
US,Job Insecurity,Burnout (MDI),24,2e-06
US,Job Insecurity,Burnout (MDI),25,2e-06
US,Job Insecurity,Burnout (MDI),26,1e-06
