,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR,l_SHOCK_Index,l_VOL_Base_Index,l_MDI_Index,l_LEARN_Index,l_ESCAPE_Index,l_INFL_sa,l_IIP_sa,l_EXR
2023-04-16,1.0,10.8,26.6,20.2,24.8,144.9308068060412,0.0244620860821109,23488.0,0.6931471805599453,2.468099531471619,3.3178157727231046,3.054001181677967,3.250374491927572,0.0244620860821109,4.976256434085977,10.064244931414242
2023-04-23,0.8,12.4,27.4,20.8,24.8,144.22582793074983,0.0244561036090162,23445.0,0.5877866649021191,2.5952547069568657,3.3463891451671604,3.0819099697950434,3.250374491927572,0.0244561036090162,4.971380320675964,10.062412531523687
2023-04-30,0.8,13.6,22.2,18.0,23.2,143.52084905545846,0.0244501240613148,23445.0,0.5877866649021191,2.681021528714291,3.1441522786722644,2.9444389791664403,3.186352633162641,0.0244501240613148,4.966480314231243,10.062412531523687
2023-05-07,0.8,13.4,22.8,20.2,24.4,142.81587018016708,0.0244441474369416,23465.0,0.5877866649021191,2.667228206581955,3.169685580677429,3.054001181677967,3.2347491740244907,0.0244441474369416,4.961556179445823,10.063265228228518
2023-05-14,0.8,9.6,24.8,15.0,21.8,142.77396950271952,0.0309367390043613,23450.0,0.5877866649021191,2.3608540011180215,3.250374491927572,2.772588722239781,3.126760535960395,0.0309367390043613,4.961262746893778,10.062625773874425
2023-05-21,1.0,9.0,18.4,13.6,20.4,142.73206882527197,0.0309271711461667,23470.0,0.6931471805599453,2.302585092994046,2.9652730660692823,2.681021528714291,3.0633909220278057,0.0309271711461667,4.960969228213797,10.063478288845069
2023-05-28,0.8,6.8,18.0,12.8,20.6,142.6901681478244,0.0309176092042395,23485.0,0.5877866649021191,2.0541237336955462,2.9444389791664403,2.624668592163159,3.0726933146901194,0.0309176092042395,4.960675623355304,10.064117198461096
2023-06-04,0.8,7.2,21.2,13.6,19.8,142.64826747037685,0.0309080531731398,23490.0,0.5877866649021191,2.1041341542702074,3.100092288878234,2.681021528714291,3.0349529867072724,0.0309080531731398,4.960381932267681,10.064330077652958
2023-06-11,0.8,6.4,16.0,12.4,20.0,143.44043129613442,0.080946280907157,23525.0,0.5877866649021191,2.0014800002101243,2.833213344056216,2.5952547069568657,3.044522437723423,0.080946280907157,4.965919836097533,10.06581896445358
2023-06-18,0.8,2.0,17.0,12.0,18.6,144.23259512189202,0.0808808108987646,23515.0,0.5877866649021191,1.0986122886681098,2.8903717578961645,2.5649493574615367,2.975529566236472,0.0808808108987646,4.971427240374628,10.065393794379148
2023-06-25,0.8,2.8,16.8,10.4,20.8,145.0247589476496,0.0808154467101474,23569.0,0.5877866649021191,1.33500106673234,2.8791984572980396,2.4336133554004498,3.0819099697950434,0.0808154467101474,4.97690447920732,10.067687568216387
2023-07-02,0.6,0.0,17.0,8.8,19.6,145.81692277340716,0.0807501880849104,23710.0,0.4700036292457356,0.0,2.8903717578961645,2.2823823856765264,3.0252910757955354,0.0807501880849104,4.982351881243854,10.07365217905945
2023-07-09,0.8,4.2,19.0,7.8,19.4,146.35775610674048,0.1877085159418534,23665.0,0.5877866649021191,1.6486586255873816,2.995732273553991,2.174751721484161,3.0155349008501706,0.1877085159418534,4.9860540087048415,10.071752442340347
2023-07-16,0.6,0.0,13.6,9.0,18.2,146.8985894400738,0.1873568312144691,23647.0,0.4700036292457356,0.0,2.681021528714291,2.302585092994046,2.954910279033736,0.1873568312144691,4.98974248095588,10.070991535979658
2023-07-23,0.8,3.4,17.6,8.6,18.4,147.43942277340716,0.1870064618334055,23661.0,0.5877866649021191,1.4816045409242156,2.9231615807191558,2.2617630984737906,2.9652730660692823,0.1870064618334055,4.9934173983607355,10.0715834020661
2023-07-30,0.6,3.2,15.8,7.2,19.0,147.98025610674048,0.18665740043311,23750.0,0.4700036292457356,1.4350845252893227,2.8213788864092133,2.1041341542702074,2.995732273553991,0.18665740043311,4.997078860180733,10.075337809462788
2023-08-06,0.6,5.8,23.0,8.2,18.8,148.5210894400738,0.1863096397028751,23740.0,0.4700036292457356,1.916922612182061,3.1780538303479458,2.2192034840549946,2.9856819377004897,0.1863096397028751,5.000726964590849,10.07491666816366
2023-08-13,0.6,0.0,21.4,8.8,19.6,148.5367144400738,0.2068235088688919,23850.0,0.4700036292457356,0.0,3.109060958860994,2.2823823856765264,3.0252910757955354,0.2068235088688919,5.0008321629718395,10.079539496316487
2023-08-20,0.8,0.0,18.0,10.4,17.8,148.5523394400738,0.2063966321121713,23900.0,0.5877866649021191,0.0,2.9444389791664403,2.4336133554004498,2.9338568698359038,0.2063966321121713,5.000937350287295,10.081633737919603
2023-08-27,0.6,0.0,11.6,9.0,18.6,148.5679644400738,0.2059715138444717,24060.0,0.4700036292457356,0.0,2.533696813957432,2.302585092994046,2.975529566236472,0.2059715138444717,5.001042526539543,10.08830598952867
2023-09-03,0.6,3.0,18.8,10.2,18.8,148.5835894400738,0.2055481432222006,24060.0,0.4700036292457356,1.3862943611198906,2.9856819377004897,2.4159137783010487,2.9856819377004897,0.2055481432222006,5.0011476917309095,10.08830598952867
2023-09-10,0.8,3.0,17.6,12.6,18.6,149.73343555749807,0.0441624126968465,24220.0,0.5877866649021191,1.3862943611198906,2.9231615807191558,2.6100697927420065,2.975529566236472,0.0441624126968465,5.0088566169040805,10.094934017107084
