,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR,l_SHOCK_Index,l_VOL_Base_Index,l_MDI_Index,l_LEARN_Index,l_ESCAPE_Index,l_INFL_sa,l_IIP_sa,l_EXR,d_l_SHOCK_Index,d_l_MDI_Index,d_l_IIP_sa,d_l_EXR,GARCH_vol_l_SHOCK_Index,GARCH_vol_l_VOL_Base_Index,GARCH_vol_l_MDI_Index,GARCH_vol_l_LEARN_Index,GARCH_vol_l_ESCAPE_Index
2024-07-21,3.0,3.0,15.6,9.8,18.2,164.16900610674048,0.0146064853246752,25285.0,1.3862943611198906,1.3862943611198906,2.8094026953624978,2.379546134130174,2.954910279033736,0.0146064853246752,5.100896422238887,10.137966613514084,0.05129329438755059,-0.1029479692524422,-0.0013632640907648153,-0.0009882400250855738,0.0434529432034418,0.8032205850671292,0.1542588996478782,0.1083590277892922,0.0788396655072033
2024-07-28,2.8,2.6,19.8,8.8,20.0,163.94504777340714,0.0146043521421113,25215.0,1.33500106673234,1.2809338454620642,3.0349529867072724,2.2823823856765264,3.044522437723423,0.0146043521421113,5.099531297121782,10.135194334510826,-0.05129329438755059,0.22555029134477467,-0.0013651251171049594,-0.002772279003258049,0.0642424237557892,0.6613184995254775,0.1618524851880119,0.1223402555102398,0.0760508202575493
2024-08-04,3.0,0.0,19.6,9.2,19.0,163.7210894400738,0.0146022195825601,25135.0,1.3862943611198906,0.0,3.025291075795536,2.322387720290225,2.995732273553991,0.0146022195825601,5.098164305890322,10.132016576126675,0.05129329438755059,-0.009661910911736626,-0.001366991231460446,-0.0031777583841510193,0.054553423753525,0.6608312297282031,0.1583419689002921,0.0877457850173706,0.09119906655138
2024-08-11,3.4,0.0,18.0,10.0,19.2,163.1867144400738,0.0092183563361381,25035.0,1.4816045409242156,0.0,2.9444389791664403,2.3978952727983707,3.005682604407159,0.0092183563361381,5.094895032599114,10.128030124764043,0.09531017980432499,-0.08085209662909554,-0.0032692732912078526,-0.003986451362631982,0.0513428174502308,1.043115493876516,0.1451925428472295,0.0640037271767826,0.0836498512993986
2024-08-18,3.8,3.0,17.4,11.0,17.4,162.6523394400738,0.0092175066335409,24960.0,1.5686159179138452,1.3862943611198906,2.91235066461494,2.4849066497880004,2.91235066461494,0.0092175066335409,5.091615036093351,10.125029822483365,0.08701137698962969,-0.0320883145515003,-0.0032799965057623837,-0.0030003022806788238,0.0543510103014455,0.8972286031581599,0.1514313868496206,0.0386305565082139,0.0788926011188845
2024-08-25,3.6,0.0,17.6,10.6,20.2,162.11796444007382,0.0092166570875518,24870.0,1.5260563034950492,0.0,2.923161580719156,2.451005098112319,3.054001181677967,0.0092166570875518,5.088324245797208,10.12141753679745,-0.04255961441879608,0.01081091610421625,-0.003290790296142987,-0.0036122856859144292,0.0553861173650518,0.905214977189994,0.1488549860878295,0.0662023306313232,0.0992673992045254
2024-09-01,3.2,0.0,12.6,10.2,17.4,161.5835894400738,0.0092158076981707,24730.0,1.4350845252893227,0.0,2.6100697927420065,2.4159137783010487,2.91235066461494,0.0092158076981707,5.085022590435802,10.115772360515464,-0.09097177820572644,-0.31309178797714976,-0.0033016553614064748,-0.005645176281985798,0.0652224672698946,1.0826440474354029,0.1460585267175249,0.0712574143614008,0.0936478560652894
2024-09-08,5.0,8.4,16.8,15.2,19.8,161.8234663340132,0.085258969453883,24575.0,1.791759469228055,2.2407096892759584,2.87919845729804,2.785011242238338,3.0349529867072724,0.085258969453883,5.086506027074835,10.109484945015367,0.3566749439387322,0.26912866455603357,0.0014834366390328313,-0.006287415500096927,0.1782254079712143,0.9315187489077896,0.2218290066274635,0.1650101713173718,0.1104205546513424
2024-09-15,5.8,7.2,22.2,16.2,18.8,162.0633432279526,0.0851863404578878,24565.0,1.916922612182061,2.1041341542702074,3.1441522786722644,2.8449093838194077,2.9856819377004897,0.0851863404578878,5.087987266388796,10.109077944602747,0.1251631429540061,0.2649538213742244,0.001481239313961602,-0.0004070004126202065,0.1266878645263927,1.3369201264623316,0.1553324655846119,0.1164429835600637,0.097130466557044
2024-09-22,6.2,2.6,23.4,15.6,20.2,162.303220121892,0.0851138350965285,24615.0,1.9740810260220096,1.2809338454620642,3.194583132299156,2.8094026953624978,3.054001181677967,0.0851138350965285,5.089466314877588,10.111111292192302,0.057158413839948574,0.05043085362689137,0.0014790484887914346,0.002033347589554424,0.1215127125933091,0.8674124757282436,0.1720540470926986,0.0709851325238105,0.0910552696823272
2024-09-29,6.2,10.0,22.0,16.6,19.6,162.5430970158314,0.0850414530544352,24745.0,1.9740810260220096,2.3978952727983707,3.1354942159291497,2.8678989020441064,3.025291075795536,0.0850414530544352,5.090943179012315,10.116378727385989,0.0,-0.05908891637000613,0.0014768641347275846,0.00526743519368722,0.0864238982524387,0.8703675710350732,0.1490622506797645,0.070837076950673,0.0848503778461563
2024-10-06,6.2,6.4,20.8,17.2,18.8,162.7829739097708,0.0849691940171926,24830.0,1.9740810260220096,2.0014800002101243,3.0819099697950434,2.9014215940827497,2.9856819377004897,0.0849691940171926,5.092417865235455,10.119807878502211,0.0,-0.053584246134106284,0.0014746862231396207,0.0034291511162223287,0.0716690832655057,0.885744263515008,0.1449665801098662,0.0572292327734446,0.0806436026074252
2024-10-13,6.8,8.6,25.4,19.0,19.8,163.5475454059829,0.0516839560537274,25180.0,2.0541237336955462,2.26176309847379,3.2733640101522705,2.995732273553991,3.0349529867072724,0.0516839560537274,5.097103745653993,10.13380530759834,0.0800427076735366,0.19145404035722713,0.004685880418538346,0.01399742909612911,0.087498579179861,0.682613314659374,0.1454870221274093,0.081827780879031,0.0863959402328102
2024-10-20,7.0,11.6,28.2,24.2,19.8,164.31211690219504,0.0516572575394613,25385.0,2.079441541679836,2.533696813957432,3.374168709274236,3.226843994517377,3.0349529867072724,0.0516572575394613,5.101767770967839,10.141913727381494,0.025317807984289953,0.10080469912196532,0.004664025313845244,0.00810841978315402,0.0698945983575081,0.6289280865110081,0.1699968601960144,0.149569390697784,0.0806905306925944
2024-10-27,7.6,19.8,26.4,27.8,22.8,165.07668839840716,0.0516305865943644,25270.0,2.151762203259462,3.0349529867072724,3.310543013394025,3.3603753871419,3.169685580677429,0.0516305865943644,5.1064101440968255,10.13737320038224,0.07232066157962569,-0.06362569588021083,0.004642373128986854,-0.004540526999253558,0.0860004725054743,0.7061810071453911,0.1639968150462733,0.1567602433065382,0.0774438854957836
2024-11-03,7.6,13.0,29.0,24.8,21.2,165.84125989461927,0.0516039431758041,25350.0,2.151762203259462,2.6390573296152584,3.4011973816621555,3.250374491927572,3.100092288878234,0.0516039431758041,5.1110310651477455,10.14053400901933,0.0,0.09065436826813045,0.004620921050920046,0.0031608086370891186,0.0597814227826712,0.7708727563110465,0.1457535301462394,0.0981471489109646,0.1031418225901779
2024-11-10,7.4,4.8,25.8,19.8,18.6,166.83135222416473,0.1013575646164888,25390.0,2.128231705849268,1.7578579175523736,3.288401887516811,3.0349529867072724,2.975529566236472,0.1013575646164888,5.1169834352364285,10.142110674698724,-0.023530497410193973,-0.1127954941453444,0.00595237008868299,0.0015766656793942957,0.0430272450495958,0.6513381581354616,0.1637614908890052,0.0912695211734447,0.0914090589912587
2024-11-17,7.4,8.6,25.4,15.8,17.6,167.8214445537102,0.1012549350802194,25415.0,2.128231705849268,2.26176309847379,3.2733640101522705,2.8213788864092133,2.923161580719156,0.1012549350802194,5.122900584161463,10.143094829881004,0.0,-0.015037877364540542,0.005917148925034255,0.000984155182280233,0.0358718412566317,0.7553700328015583,0.1449625873359477,0.0992030658770313,0.1119426522412763
