,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR,l_SHOCK_Index,l_VOL_Base_Index,l_MDI_Index,l_LEARN_Index,l_ESCAPE_Index,l_INFL_sa,l_IIP_sa,l_EXR
2023-12-10,5.8,5.0,17.8,5.4,17.8,100.69486861576098,0.1124148282866777,115.82922,1.916922612182061,1.791759469228055,2.9338568698359038,1.8562979903656263,2.9338568698359038,0.1124148282866777,4.6120948412837635,4.752116864914847
2023-12-17,3.8,3.4,11.8,5.2,14.6,100.48957154782198,0.1122885992506317,115.14466,1.5686159179138452,1.4816045409242156,2.5494451709255714,1.824549292051046,2.747270914255491,0.1122885992506317,4.610053956421785,4.7461892508969745
2023-12-24,2.8,3.0,9.4,4.6,11.8,100.28427447988297,0.1121626533782782,113.82676,1.33500106673234,1.3862943611198906,2.341805806147327,1.7227665977411035,2.5494451709255714,0.1121626533782782,4.60800889782923,4.734677643433833
2023-12-31,3.4,4.6,12.4,5.8,17.0,100.07897741194397,0.1120369897178452,112.76405,1.4816045409242156,1.7227665977411035,2.5952547069568657,1.916922612182061,2.8903717578961645,0.1120369897178452,4.605959648400059,4.725297582592753
2024-01-07,4.4,8.8,14.6,6.0,18.6,99.87368034400497,0.1119116073218684,113.9836,1.6863989535702288,2.2823823856765264,2.747270914255491,1.9459101490553132,2.975529566236472,0.1119116073218684,4.603906190922849,4.736054578396581
2024-01-14,4.6,9.2,15.0,6.0,18.4,99.96573666174972,0.0407727065123486,114.15096,1.7227665977411035,2.322387720290225,2.772588722239781,1.9459101490553132,2.9652730660692823,0.0407727065123486,4.604827493893359,4.7375217829273
2024-01-21,5.2,10.2,17.2,6.6,21.0,100.05779297949448,0.0407560891517722,115.253075,1.824549292051046,2.4159137783010487,2.9014215940827497,2.028148247292285,3.091042453358316,0.0407560891517722,4.605747948845928,4.7471303626488055
2024-01-28,5.4,10.6,17.0,6.6,20.6,100.14984929723924,0.0407394853308096,115.1948,1.8562979903656263,2.451005098112319,2.8903717578961645,2.028148247292285,3.0726933146901194,0.0407394853308096,4.606667557340243,4.746624608354112
2024-02-04,5.6,9.0,18.6,6.4,21.2,100.24190561498398,0.0407228950329408,115.15288,1.8870696490323797,2.302585092994046,2.975529566236472,2.0014800002101243,3.100092288878234,0.0407228950329408,4.607586320931696,4.746260636809334
2024-02-11,6.4,7.2,17.4,6.8,19.4,100.26483276606206,0.1312663605395059,115.97272,2.0014800002101243,2.1041341542702074,2.91235066461494,2.0541237336955462,3.0155349008501706,0.1312663605395059,4.607815013008213,4.753354991035203
2024-02-18,6.4,6.8,18.0,7.4,20.6,100.28775991714016,0.1310942778520729,116.2597,2.0014800002101243,2.0541237336955462,2.9444389791664403,2.128231705849268,3.0726933146901194,0.1310942778520729,4.6080436527966215,4.755826481846686
2024-02-25,6.2,7.4,17.4,7.4,19.8,100.31068706821824,0.1309226457550938,115.8466,1.9740810260220096,2.128231705849268,2.91235066461494,2.128231705849268,3.0349529867072724,0.1309226457550938,4.608272240320828,4.752266902152506
2024-03-03,6.0,6.2,18.0,7.2,19.6,100.33361421929632,0.130751462481049,115.85588,1.9459101490553132,1.9740810260220096,2.9444389791664403,2.1041341542702074,3.0252910757955354,0.130751462481049,4.608500775604718,4.752347004877389
2024-03-10,5.8,6.4,16.6,7.2,19.8,100.25948520030836,0.0457140761375596,115.25912,1.916922612182061,2.0014800002101243,2.8678989020441064,2.1041341542702074,3.0349529867072724,0.0457140761375596,4.607761677175341,4.7471828110670025
2024-03-17,5.8,5.4,16.8,7.0,19.2,100.18535618132042,0.0456931879188493,115.05738,1.916922612182061,1.8562979903656263,2.8791984572980396,2.0794415416798357,3.005682604407159,0.0456931879188493,4.607022032075407,4.745430960447575
2024-03-24,5.8,5.4,17.2,7.4,20.2,100.11122716233244,0.0456723187803875,115.93638,1.916922612182061,1.8562979903656263,2.9014215940827497,2.128231705849268,3.054001181677967,0.0456723187803875,4.606281839495633,4.753041592377734
2024-03-31,5.6,5.6,17.4,6.8,19.0,100.03709814334452,0.045651468696084,116.30488,1.8870696490323797,1.8870696490323797,2.91235066461494,2.0541237336955462,2.995732273553991,0.045651468696084,4.605541098624939,4.756215019091424
2024-04-07,6.2,5.6,17.6,6.6,20.0,99.96296912435656,0.0456306376398263,116.38076,1.9740810260220096,1.8870696490323797,2.9231615807191558,2.028148247292285,3.044522437723423,0.0456306376398263,4.604799808650438,4.756867229538873
2024-04-14,6.0,6.4,20.0,7.0,20.6,100.11458057631604,0.0027234322990565,116.99076,1.9459101490553132,2.0014800002101243,3.044522437723423,2.0794415416798357,3.0726933146901194,0.0027234322990565,4.60631533581683,4.7620949573201425
2024-04-21,6.2,5.4,21.2,7.6,19.2,100.26619202827554,0.0027233581302521,118.1927,1.9740810260220096,1.8562979903656263,3.100092288878234,2.151762203259462,3.005682604407159,0.0027233581302521,4.607828569635821,4.772316343335515
2024-04-28,6.2,6.6,20.0,6.6,18.8,100.41780348023504,0.0027232839654889,117.88364,1.9740810260220096,2.028148247292285,3.044522437723423,2.028148247292285,2.9856819377004897,0.0027232839654889,4.60933951703767,4.769698036252609
2024-05-05,5.8,5.6,16.8,6.8,19.2,100.56941493219452,0.0027232098047225,117.6948,1.916922612182061,1.8870696490323797,2.8791984572980396,2.0541237336955462,3.005682604407159,0.0027232098047225,4.610848184921267,4.768094833171315
2024-05-12,6.6,7.4,16.0,8.4,17.8,100.61669279040404,-0.0457489073208638,117.23578,2.028148247292285,2.128231705849268,2.833213344056216,2.2407096892759584,2.9338568698359038,-0.0457489073208638,4.611318176210575,4.7641871206537605
2024-05-19,6.0,6.0,15.0,7.2,17.2,100.66397064861354,-0.045769846525534,116.66564,1.9459101490553132,1.9459101490553132,2.772588722239781,2.1041341542702074,2.9014215940827497,-0.045769846525534,4.611787946711837,4.759312065776629
2024-05-26,5.2,5.2,13.8,7.2,16.6,100.71124850682304,-0.0457908049066424,116.73752,1.824549292051046,1.824549292051046,2.6946271807700692,2.1041341542702074,2.8678989020441064,-0.0457908049066424,4.612257496632392,4.759927995760375
2024-06-02,5.8,5.2,14.8,7.4,18.6,100.75852636503254,-0.0458117824906012,116.734925,1.916922612182061,1.824549292051046,2.760009940032921,2.128231705849268,2.975529566236472,-0.0458117824906012,4.6127268261792915,4.759905766156362
2024-06-09,5.2,5.0,14.6,7.2,18.2,100.55347579369416,0.0450180616478057,116.44834,1.824549292051046,1.791759469228055,2.747270914255491,2.1041341542702074,2.954910279033736,0.0450180616478057,4.610689683435173,4.757447741183662
2024-06-16,4.4,5.0,14.6,6.8,17.2,100.34842522235576,0.0449978045084176,117.1623,1.6863989535702288,1.791759469228055,2.747270914255491,2.0541237336955462,2.9014215940827497,0.0449978045084176,4.60864838226775,4.763560153040314
2024-06-23,4.4,5.4,15.2,7.2,18.0,100.1433746510174,0.0449775655914086,117.4756,1.6863989535702288,1.8562979903656263,2.785011242238338,2.1041341542702074,2.9444389791664403,0.0449775655914086,4.606602905665099,4.766230652445511
2024-06-30,3.8,4.4,13.2,5.8,15.8,99.938324079679,0.0449573448721096,117.64514,1.5686159179138452,1.6863989535702288,2.653241964607215,1.916922612182061,2.8213788864092133,0.0449573448721096,4.604553236510684,4.7676728053528565
2024-07-07,4.0,5.0,13.6,6.4,19.0,99.73327350834064,0.0449371423260736,117.351025,1.6094379124341003,1.791759469228055,2.681021528714291,2.0014800002101243,2.995732273553991,0.0449371423260736,4.602499357582507,4.7651696568136375
2024-07-14,4.0,4.8,14.8,6.0,18.0,99.85526152917396,0.0494438817604026,116.58224,1.6094379124341003,1.7578579175523736,2.760009940032921,1.9459101490553132,2.9444389791664403,0.0494438817604026,4.603721752806766,4.758596946706272
2024-07-21,4.2,4.8,14.2,6.4,18.0,99.97724955000729,0.0494194468675157,116.13899999999998,1.6486586255873816,1.7578579175523736,2.7212954278522306,2.0014800002101243,2.9444389791664403,0.0494194468675157,4.60494265560509,4.754787749608918
2024-07-28,4.2,5.4,14.0,5.6,18.0,100.0992375708406,0.0493950361138972,116.48134,1.6486586255873816,1.8562979903656263,2.70805020110221,1.8870696490323797,2.9444389791664403,0.0493950361138972,4.606162069617249,4.757731088503083
2024-08-04,4.2,6.2,13.8,6.6,18.2,100.22122559167394,0.0493706494637757,116.46064,1.6486586255873816,1.9740810260220096,2.6946271807700692,2.028148247292285,2.954910279033736,0.0493706494637757,4.607379998469716,4.757553361842955
2024-08-11,4.8,6.2,13.6,6.2,18.6,100.08326283125729,0.0386689885248481,115.33848,1.7578579175523736,1.9740810260220096,2.681021528714291,1.9740810260220096,2.975529566236472,0.0386689885248481,4.606002467858003,4.747871109671438
2024-08-18,6.2,6.6,15.2,6.6,19.0,99.9453000708406,0.0386540413980229,115.06834,1.9740810260220096,2.028148247292285,2.785011242238338,2.028148247292285,2.995732273553991,0.0386540413980229,4.604623037037807,4.7455262127297475
2024-08-25,6.2,5.8,16.0,6.6,18.6,99.80733731042396,0.0386391058220692,113.60054,1.9740810260220096,1.916922612182061,2.833213344056216,2.028148247292285,2.975529566236472,0.0386391058220692,4.603241700759473,4.73268825979688
2024-09-01,6.2,5.6,16.4,6.8,18.0,99.66937455000728,0.0386241817835752,113.07128,1.9740810260220096,1.8870696490323797,2.856470206220483,2.0541237336955462,2.9444389791664403,0.0386241817835752,4.601858453751562,4.728018416304057
2024-09-08,7.4,6.0,18.0,6.4,18.8,99.67379013105815,0.0505885120468896,113.41595,2.128231705849268,1.9459101490553132,2.9444389791664403,2.0014800002101243,2.9856819377004897,0.0505885120468896,4.601902755055383,4.7310620339603275
2024-09-15,7.8,6.8,19.8,7.2,20.2,99.67820571210906,0.0505629330114221,113.62118,2.174751721484161,2.0541237336955462,3.0349529867072724,2.1041341542702074,3.054001181677967,0.0505629330114221,4.601947054396685,4.732869932570563
2024-09-22,8.2,6.6,18.8,7.2,18.6,99.68262129315995,0.050537379829918,113.0194,2.2192034840549946,2.028148247292285,2.9856819377004897,2.1041341542702074,2.975529566236472,0.050537379829918,4.601991351775643,4.727559485392702
2024-09-29,7.4,6.8,18.2,7.4,17.8,99.68703687421086,0.0505118524631864,112.6394,2.128231705849268,2.0541237336955462,2.954910279033736,2.128231705849268,2.9338568698359038,0.0505118524631864,4.602035647192431,4.724191565691
2024-10-06,7.6,5.6,17.6,6.8,17.8,99.69145245526175,0.0504863508721031,113.52138,2.151762203259462,1.8870696490323797,2.9231615807191558,2.0541237336955462,2.9338568698359038,0.0504863508721031,4.602079940647221,4.731991189226101
2024-10-13,7.8,6.0,17.4,7.0,17.8,99.6660137442332,0.0744685632844355,114.8412,2.174751721484161,1.9459101490553132,2.91235066461494,2.0794415416798357,2.9338568698359038,0.0744685632844355,4.601824733639913,4.743550304519063
2024-10-20,8.4,6.8,19.4,8.8,18.2,99.64057503320464,0.0744131488815913,115.669925,2.2407096892759584,2.0541237336955462,3.0155349008501706,2.2823823856765264,2.954910279033736,0.0744131488815913,4.601569461485362,4.7507406609108
2024-10-27,8.4,6.6,18.6,7.6,18.4,99.6151363221761,0.0743578168886038,116.34916,2.2407096892759584,2.028148247292285,2.975529566236472,2.151762203259462,2.9652730660692823,0.0743578168886038,4.601314124150299,4.756595670126193
2024-11-03,7.8,6.6,18.6,7.2,17.4,99.58969761114754,0.0743025671217756,116.51954,2.174751721484161,2.028148247292285,2.975529566236472,2.1041341542702074,2.91235066461494,0.0743025671217756,4.60105872160143,4.758058984263324
2024-11-10,9.0,7.0,19.0,8.4,20.0,99.84836462928564,0.1003463233262724,116.61966,2.302585092994046,2.0794415416798357,2.995732273553991,2.2407096892759584,3.044522437723423,0.1003463233262724,4.603652681453143,4.758917870337865
2024-11-17,9.6,7.0,22.0,8.6,19.4,100.10703164742375,0.1002457304215109,118.641375,2.3608540011180215,2.0794415416798357,3.1354942159291497,2.2617630984737906,3.0155349008501706,0.1002457304215109,4.606239930082034,4.776105287445592
2024-11-24,6.2,4.4,15.2,6.4,14.4,100.36569866556188,0.1001453389949391,118.93166,1.9740810260220096,1.6863989535702288,2.785011242238338,2.0014800002101243,2.7343675094195836,0.1001453389949391,4.608820502125727,4.778549042432042
2024-12-01,9.4,6.4,21.6,8.4,18.6,100.62436568369998,0.1000451484418851,118.735475,2.341805806147327,2.0014800002101243,3.1179499062782403,2.2407096892759584,2.975529566236472,0.1000451484418851,4.611394431954387,4.77689811964409
2024-12-08,11.6,7.0,21.0,8.4,18.8,100.64270861576098,0.1344705601381557,118.50262,2.533696813957432,2.0794415416798357,3.091042453358316,2.2407096892759584,2.9856819377004897,0.1344705601381557,4.6115767064985524,4.774935070035411
2024-12-15,8.4,6.0,15.2,8.2,16.4,100.66105154782196,0.1342899796503482,118.9897,2.2407096892759584,1.9459101490553132,2.785011242238338,2.2192034840549946,2.856470206220483,0.1342899796503482,4.611758947824764,4.779036934743613
2024-12-22,5.6,4.4,10.0,7.4,12.8,100.67939447988296,0.1341098835150322,120.08886,1.8870696490323797,1.6863989535702288,2.3978952727983707,2.128231705849268,2.624668592163159,0.1341098835150322,4.611941155945125,4.788231968747194
2024-12-29,5.4,5.8,12.2,8.0,16.4,100.69773741194396,0.1339302697862532,120.89515,1.8562979903656263,1.916922612182061,2.580216829592325,2.1972245773362196,2.856470206220483,0.1339302697862532,4.612123330871736,4.794923641017906
2025-01-05,8.2,7.4,15.4,9.6,18.6,100.71608034400496,0.1337511365282484,121.513925,2.2192034840549946,2.128231705849268,2.797281334830153,2.3608540011180215,2.975529566236472,0.1337511365282484,4.612305472616687,4.800028865266985
2025-01-12,9.0,9.0,17.8,10.2,19.4,100.80111166174972,-0.0034988055563234,121.5795,2.302585092994046,2.302585092994046,2.9338568698359038,2.4159137783010487,3.0155349008501706,-0.0034988055563234,4.61314938396683,4.800568369793614
2025-01-19,10.2,10.2,16.2,10.8,20.2,100.88614297949448,-0.0034989279770081,121.97854,2.4159137783010487,2.4159137783010487,2.8449093838194073,2.468099531471619,3.054001181677967,-0.0034989279770081,4.613992583731079,4.803845127621404
2025-01-26,12.0,9.4,19.8,12.0,28.0,100.97117429723924,-0.0034990504062637,120.645775,2.5649493574615367,2.341805806147327,3.0349529867072724,2.5649493574615367,3.367295829986474,-0.0034990504062637,4.614835073108442,4.792858772808889
