,GARCH_vol_l_SHOCK_Index,GARCH_vol_l_VOL_Base_Index,GARCH_vol_l_MDI_Index,GARCH_vol_l_LEARN_Index,GARCH_vol_l_ESCAPE_Index
2023-06-18,0.07798280884635923,0.17739692978993624,0.0786558718901218,0.0681624663934853,0.06709405341564693
2023-06-25,0.11170188353606406,0.16992947779560277,0.07430939603597284,0.04788184670613253,0.06412582374628256
2023-07-02,0.08883513531929285,0.16495234662037248,0.07513613563139457,0.06401177504316706,0.06564546434485695
2023-07-09,0.14411434405308904,0.2406589046414994,0.07602286386919141,0.06254613520171144,0.08982146690326218
2023-07-16,0.14754701375382168,0.213444706935671,0.08715144277249032,0.04401299378828614,0.10324190569300963
2023-07-23,0.16170729909197687,0.23451996758416224,0.08114746817154,0.04642108192368177,0.0832033912709066
2023-07-30,0.12222253201978374,0.20344954006783295,0.08645772467612695,0.02909640001010516,0.07715733262879648
2023-08-06,0.09790742503640593,0.18792267352195005,0.07570429711212366,0.08981981648739222,0.06739423993536377
2023-08-13,0.09535539496647903,0.16727961987197593,0.07019709245061984,0.10158374621453538,0.07600323679495817
2023-08-20,0.08319181545273904,0.17657788294395804,0.08831970229137254,0.13927621834560852,0.06738606866738697
2023-08-27,0.0704525110537201,0.15613708247356028,0.0790745069471365,0.08981810831385727,0.0709039321571316
2023-09-03,0.09969300519940014,0.15326077980737757,0.08575995039121923,0.10794144048615037,0.06388428651987846
2023-09-10,0.0936846954617096,0.15893310553293494,0.07684050613625279,0.07311682947823683,0.08257444213695975
2023-09-17,0.12664482713834238,0.17207492408258257,0.0791639644962388,0.05214845464358012,0.07685053002229637
2023-09-24,0.09923107548898696,0.2122448925737055,0.08278204668492259,0.04051654540344602,0.08044978759255134
2023-10-01,0.09722846738034438,0.19714598274098338,0.08034414425842934,0.049396502015762504,0.06949183862014396
2023-10-08,0.1155135350872428,0.17518810922916794,0.07210668120797674,0.04881425933428464,0.06541113180615665
2023-10-15,0.1011674496926652,0.1655631146338546,0.07277158528233749,0.04619994912513608,0.06500676724378039
2023-10-22,0.08300015710107182,0.21031690428423405,0.07667045387565548,0.0470131344439494,0.06082322492767928
2023-10-29,0.07173074399535417,0.23752448452796998,0.07026068777214584,0.05232810258663331,0.06057957523963313
2023-11-05,0.08381895200453987,0.20787187542585503,0.07491662398346807,0.044487905835051446,0.06123212177259341
2023-11-12,0.10327052452858813,0.17991570289060338,0.08068299798673202,0.044822083709112906,0.0590083040957557
2023-11-19,0.08307519774593022,0.15857872840527107,0.07845471556350424,0.03870751328303343,0.06486082434778799
2023-11-26,0.11084807779254949,0.30522169199882393,0.21237134293961407,0.10234093595106518,0.21904336277808928
2023-12-03,0.1400233031071899,0.3271895158561822,0.2500627174722924,0.08523460568469972,0.19746024276446986
2023-12-10,0.11369062988246144,0.27382328412358364,0.17613907333763948,0.09602860785832758,0.14638844695909797
2023-12-17,0.09022670369439113,0.24203507925531087,0.1351557153560059,0.08861447721210221,0.11549811897241337
2023-12-24,0.24455085415721228,0.2762749969199371,0.2824616898412969,0.1219175171639629,0.14454441838842305
2023-12-31,0.21868452038412578,0.24280204683670661,0.24293143929894614,0.11199862702042619,0.1939880094629507
2024-01-07,0.1701495379855144,0.2556749773816187,0.238484142726252,0.07022823721026232,0.20046636036901108
2024-01-14,0.14052380936393521,0.344330178121858,0.19408875433027462,0.04513606864297664,0.1632266488379817
2024-01-21,0.10868334350019974,0.28749993953004876,0.13919821392598558,0.06303207521502541,0.12981362058065862
2024-01-28,0.1311071158164429,0.2583173466851164,0.13354874463014438,0.050720964554435775,0.14639417510025216
2024-02-04,0.10147281610041134,0.22520897045820285,0.10169450667962746,0.030897258727094052,0.1155778151130945
2024-02-11,0.08646109901232162,0.20009345458740196,0.09851525558003722,0.04026677552557152,0.10262875900800873
2024-02-18,0.10122694609254339,0.19209843343301858,0.09322723951843788,0.051253101628359006,0.08920561199425002
2024-02-25,0.08464075138090178,0.1685098081345089,0.07995335823395247,0.03349355208312238,0.0813895943889693
2024-03-03,0.07145532454487823,0.15323766142535503,0.07536976755494303,0.03872286588884202,0.07282007041438207
2024-03-10,0.0684205693080589,0.17520650965821757,0.07091427659455558,0.03946846935167363,0.06525968395492515
2024-03-17,0.06950025961026278,0.15514702458344345,0.08656207068291738,0.05216912395897487,0.060530163148309286
2024-03-24,0.06338502728844478,0.1779668630757967,0.07446546054704549,0.032168150384998984,0.062210409061921615
2024-03-31,0.06109917512632634,0.1583286251021768,0.06909231566098223,0.061503468728062415,0.06251452868333493
2024-04-07,0.06543331499294162,0.14337868906888898,0.06566253053312558,0.06282936135959881,0.0691292976876667
2024-04-14,0.08090338137741496,0.13547041852303013,0.06404418912441917,0.04411163555347938,0.06623157003561611
2024-04-21,0.08536799538001129,0.1312186956005741,0.10051127619916402,0.050405492798632705,0.06324598270075352
2024-04-28,0.0786000559950823,0.16605174458691774,0.0885996915015319,0.07448697612829364,0.06866104603808981
2024-05-05,0.07082482869021287,0.17140396327914428,0.08602238150517252,0.04842924532903277,0.06637575578106474
2024-05-12,0.07692794626620962,0.18927006947761366,0.13716746257315024,0.0972360891921715,0.06118465894015698
2024-05-19,0.10066410992230601,0.21037869095965062,0.10896510289168465,0.10332703308500621,0.07874341137024392
2024-05-26,0.12697338109793146,0.22591018516835099,0.09755031542311603,0.06894901786885954,0.0794399280566481
2024-06-02,0.11435855236560916,0.20592433881607752,0.09814748152569093,0.04391733661481592,0.08321774636928042
2024-06-09,0.10558978600240414,0.1794461309186435,0.09015599433845058,0.04912494746939777,0.08292102870698786
2024-06-16,0.14305778974845662,0.1661371466090907,0.07727808167274809,0.06606991465031911,0.07124640504596534
2024-06-23,0.13101721650100784,0.15107229595126712,0.06968414990492465,0.04033985484951849,0.07068877831318901
2024-06-30,0.10174647724078127,0.13707997764387053,0.06932715681808552,0.11206859469680087,0.06498603567151894
2024-07-07,0.1471410677286566,0.18057869225117557,0.11367480932977692,0.07407732235898601,0.1013196759150423
2024-07-14,0.11795025263313541,0.1642488841187664,0.09062718397461467,0.08039793098299589,0.11796004929001766
2024-07-21,0.10192212485117043,0.15793725681736073,0.09116473388297042,0.05799067170131539,0.09502346150029922
2024-07-28,0.08602386563199323,0.14413200610682486,0.08244705003095276,0.08223436100503374,0.07838209763731764
2024-08-04,0.0740666611772775,0.13514826043827213,0.07333353606180938,0.09640330696977434,0.06801516784549548
2024-08-11,0.06492362942542576,0.13174706863037744,0.06883185717611454,0.0740230454441183,0.06226046853247718
2024-08-18,0.08825562736265337,0.12416756660263047,0.06671680626734287,0.06575487249699133,0.06024958858489213
2024-08-25,0.14257954549636465,0.12037481718866144,0.09254624872088887,0.04105990910105455,0.060175186393907856
2024-09-01,0.11116624363746283,0.13551023721706967,0.0827196882019998,0.03219037845832596,0.05807865071524744
2024-09-08,0.0952813474897138,0.1270570951075321,0.07333184824835112,0.0457139864341541,0.06013804270395731
2024-09-15,0.12387145478102606,0.12103314209741545,0.08754549756885967,0.05358333660897858,0.060092026822135054
2024-09-22,0.09661785447934576,0.12301235536220283,0.09430830388456844,0.039888191169093916,0.07239882475427596
2024-09-29,0.09132864602826236,0.12047127794347617,0.08682934945754901,0.02496708777545325,0.07268859572090777
2024-10-06,0.10335957659880086,0.11551677877995875,0.07845728330414345,0.05159649906153809,0.07165839608057459
2024-10-13,0.08822729265038007,0.15309418308376757,0.07457631070758375,0.03561572491678954,0.06670690442261344
2024-10-20,0.07568437579268154,0.14150935832889455,0.06912897776667429,0.09012091441125118,0.06284350153241693
2024-10-27,0.07533066255997052,0.13526691229700177,0.09295841810846758,0.0977742239552236,0.05927432155723086
2024-11-03,0.0675657243726674,0.13007036865862592,0.08366640855996214,0.08203217730892323,0.057375566143180824
2024-11-10,0.07420459909651868,0.1219538569290232,0.07294922106589846,0.09162156179188852,0.06546717710918298
2024-11-17,0.10969698106718698,0.11736812569876989,0.06814531600790615,0.0619578953039532,0.09423445189074826
2024-11-24,0.0873510614089394,0.11355418869034613,0.11155629354971486,0.14235290319875646,0.07753408025609237
2024-12-01,0.2440082321873861,0.25966922783188484,0.25613061982456475,0.15183713895376982,0.18062853722836056
